symbol,session_date,side,play,entry,sl,tp,or_high,or_low,volume,signal_open_ms,entry_bar_open_ms,outcome,exit_price,exit_bar_open_ms,pnl_r,pnl_usdt,notional_usdt,resolve_note,bars_seen
GOOGLUSDT,2026-05-08,LONG,ORB_BREAKOUT_LONG,399.62,399.16445933,,399.6,396.86,265.11,1778247900000,1778247900000,loss,399.16445933,1778254440000,-1.0,-85.0,74565.6804,resolved:auto,105
GOOGLUSDT,2026-05-11,SHORT,ORB_BREAKOUT_SHORT,392.15,392.56766358,,397.86,392.17,85.42,1778524500000,1778524500000,session_close,389.13,1778529540000,7.2307,614.6095,79807.6528,resolved:session_close,80
GOOGLUSDT,2026-05-13,LONG,ORB_BREAKOUT_LONG,388.74,388.28790743,,388.72,385.5,507.37,1778680200000,1778680200000,session_close,402.91,1778702340000,31.343138,2664.1668,73088.7924,resolved:session_close,365
GOOGLUSDT,2026-05-14,SHORT,ORB_BREAKOUT_SHORT,396.83,397.28783596,,400.39,396.85,727.23,1778768700000,1778768700000,loss,397.28783596,1778769240000,-1.0,-85.0,73673.8766,resolved:auto,5
GOOGLUSDT,2026-05-15,LONG,ORB_BREAKOUT_LONG,396.91,396.45418804,,396.89,393.26,480.94,1778852700000,1778852700000,loss,396.45418804,1778859780000,-1.0,-85.0,74015.9385,resolved:auto,114
GOOGLUSDT,2026-05-18,LONG,ORB_BREAKOUT_LONG,404.5,404.05551553,,404.48,395.0,1064.76,1779112200000,1779112200000,loss,404.05551553,1779114780000,-1.0,-85.0,77353.6587,resolved:auto,39
GOOGLUSDT,2026-05-19,SHORT,ORB_BREAKOUT_SHORT,390.02,390.49234272,,397.58,390.04,972.69,1779198300000,1779198300000,loss,390.49234272,1779198900000,-1.0,-85.0,70185.6906,resolved:auto,6
GOOGLUSDT,2026-05-20,SHORT,ORB_BREAKOUT_SHORT,387.56,388.03663967,,393.79,387.58,2155.7,1779285000000,1779285000000,loss,388.03663967,1779303240000,-1.0,-85.0,69114.264,resolved:auto,300
GOOGLUSDT,2026-05-21,LONG,ORB_BREAKOUT_LONG,387.16,386.68476316,,387.14,383.93,406.63,1779373800000,1779373800000,loss,386.68476316,1779393300000,-1.0,-85.0,69246.736,resolved:auto,321
GOOGLUSDT,2026-05-22,LONG,ORB_BREAKOUT_LONG,387.94,387.46624437,,387.92,385.03,117.48,1779461700000,1779461700000,loss,387.46624437,1779463380000,-1.0,-85.0,69603.1834,resolved:auto,24
GOOGLUSDT,2026-05-26,LONG,ORB_BREAKOUT_LONG,386.02,385.59820654,,386.0,383.0,5258.69,1779803700000,1779803700000,session_close,389.43,1779825540000,8.084526,687.1847,77790.9169,resolved:session_close,360
GOOGLUSDT,2026-05-27,LONG,ORB_BREAKOUT_LONG,390.84,390.41679893,,390.82,386.41,1281.32,1779890400000,1779890400000,loss,390.41679893,1779891060000,-1.0,-85.0,78500.2741,resolved:auto,7
GOOGLUSDT,2026-05-28,LONG,ORB_BREAKOUT_LONG,389.25,388.83313472,,389.23,386.08,1350.1,1779977400000,1779977400000,loss,388.83313472,1779987060000,-1.0,-85.0,79369.1669,resolved:auto,157
GOOGLUSDT,2026-05-29,SHORT,ORB_BREAKOUT_SHORT,380.72,381.15066062,,385.45,380.74,3800.07,1780084200000,1780084200000,loss,381.15066062,1780084500000,-1.0,-85.0,75143.1603,resolved:auto,1
GOOGLUSDT,2026-06-01,LONG,ORB_BREAKOUT_LONG,377.75,377.3262464,,377.73,374.14,719.17,1780334700000,1780334700000,loss,377.3262464,1780335600000,-1.0,-85.0,75772.2176,resolved:auto,11
GOOGLUSDT,2026-06-02,LONG,ORB_BREAKOUT_LONG,367.56,367.11319309,,367.54,359.54,3042.56,1780409100000,1780409100000,loss,367.11319309,1780415220000,-1.0,-85.0,69924.1648,resolved:auto,98
GOOGLUSDT,2026-06-03,SHORT,ORB_BREAKOUT_SHORT,361.87,362.32114214,,366.97,361.89,1468.65,1780496100000,1780496100000,loss,362.32114214,1780496460000,-1.0,-85.0,68180.1749,resolved:auto,2
GOOGLUSDT,2026-06-04,LONG,ORB_BREAKOUT_LONG,364.98,364.50526087,,364.96,358.8,1154.49,1780581000000,1780581000000,session_close,372.48,1780603140000,15.79815,1342.8428,65348.0997,resolved:session_close,365
GOOGLUSDT,2026-06-05,SHORT,ORB_BREAKOUT_SHORT,364.82,365.29068633,,371.39,364.84,369.37,1780687200000,1780687200000,loss,365.29068633,1780687500000,-1.0,-85.0,65881.8793,resolved:auto,1
